#Position (bp)	insert size	chromosomes
3.0897924265E9	0.0
3.0897936835E9	0.0
3.089795526E9	0.0
3.0897974615E9	0.0
3.089798689E9	0.0
3.0897998285E9	0.0
3.0898009675E9	0.0
3.089802024E9	0.0
3.0898035355E9	0.0
3.0898057985E9	0.0
3.089807711E9	0.0
3.089809545E9	0.0
3.089811811E9	0.0
3.089813905E9	0.0
3.089815492E9	0.0
3.089817167E9	0.0
3.08981905E9	0.0
3.089820263E9	0.0
3.0898218235E9	0.0
3.0898238355E9	0.0
3.089825458E9	0.0
3.08987263E9	0.0
3.089975374E9	0.0
3.090227657E9	0.0
3.0904276835E9	0.0
3.0904325665E9	0.0
3.09043407E9	0.0
3.0904366465E9	0.0
3.090440634E9	0.0
3.090445338E9	0.0
3.09044899E9	0.0
3.0904511245E9	0.0
3.090453491E9	0.0
3.090458762E9	0.0
3.09047417E9	0.0
3.090488695E9	0.0
3.0904925255E9	0.0
3.090494802E9	0.0
3.0904975215E9	0.0
3.0905676775E9	0.0
3.0906405615E9	0.0
3.0906472195E9	0.0
3.090651548E9	0.0
3.090653989E9	0.0
3.0906560225E9	0.0
3.090702761E9	0.0
3.090748912E9	0.0
3.0907500095E9	0.0
3.09075141E9	0.0
3.090767726E9	0.0
3.090784019E9	0.0
3.0907883185E9	0.0
3.0907950935E9	0.0
3.0907990455E9	0.0
3.090802002E9	0.0
3.090805743E9	0.0
3.0908103065E9	0.0
3.0908356225E9	0.0
3.090860202E9	0.0
3.0908654425E9	0.0
3.090869861E9	0.0
3.0909500975E9	0.0
3.091122183E9	0.0
3.0913208815E9	0.0
3.0915104465E9	0.0
3.091615628E9	0.0
3.0916698165E9	0.0
3.091802427E9	0.0
3.091948455E9	0.0
3.092074495E9	0.0
3.0922282995E9	0.0
3.0923780955E9	0.0
3.092467339E9	0.0
3.0925126835E9	0.0
3.092564251E9	0.0
3.092602708E9	0.0
3.0926608645E9	0.0
3.092736285E9	0.0
3.092773502E9	0.0
